SSN,Public,Na,Mg,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Y,Zr,Mo,Ba,La,Ce,Pr,Nd,Sm,Hf,Ta,W,Hg,Pb,Bi,Th
icr007910,True,23504.0,5575.0,46787.2,50.6,45.7,61.6,38783.4,4256.3,4.4,2622.1,23.0,21.2,263.2,17479.4,0.7,8.0,9.1,24.2,12.4,0.3,883.0,6.1,112.4,281.9,5.5,24.7,184.5,5083.9,484.9,63.5,0.9,7.3,9.1,5.5,3.1,2.0,0.2,36.7,0.1,3.3
icr007911,True,18845.8,5575.0,48317.2,50.6,45.7,92.0,34348.1,3243.6,4.4,2664.9,22.3,24.0,195.5,20853.9,0.7,9.3,9.6,25.4,11.9,0.3,881.7,6.2,106.3,233.0,5.0,24.6,184.5,4405.3,597.3,66.5,0.7,7.4,13.8,3.5,3.5,2.6,0.2,24.5,0.1,6.7
icr007928,True,19272.9,5575.0,34763.1,50.6,45.7,170.8,16825.7,7293.6,4.4,1613.8,18.7,33.2,156.8,10769.9,0.7,12.5,7.1,19.6,7.7,0.3,885.6,5.8,41.2,146.9,6.7,24.7,184.5,3041.2,318.8,37.7,1.0,8.9,4.9,4.3,1.8,0.2,0.3,18.6,0.1,3.2
icr007929,True,20065.8,5575.0,33391.7,50.6,45.7,141.5,14487.1,7691.5,4.4,1601.7,17.9,30.8,146.4,11319.6,0.7,12.7,7.4,19.7,7.7,0.3,885.0,4.2,38.4,135.7,6.6,24.7,184.5,2854.5,351.7,41.3,1.0,6.6,5.0,2.8,1.7,0.2,0.2,17.0,0.1,3.9
icr007949,True,21930.8,5575.0,29920.0,50.6,45.7,82.7,21360.2,1849.6,4.4,1444.1,9.5,9.1,395.7,6450.9,0.7,6.0,5.5,14.4,6.4,0.3,882.4,3.7,49.4,76.9,3.6,25.2,184.5,3388.2,141.7,23.3,0.8,3.5,1.0,7.2,1.3,0.2,0.2,27.3,0.3,2.5
icr007950,True,20935.4,5575.0,31012.1,50.6,45.7,50.0,19266.6,2021.8,4.4,1505.4,11.9,14.6,415.9,7571.9,0.7,6.9,7.1,15.3,6.8,0.3,884.3,6.1,47.3,75.3,3.7,24.7,184.5,3017.8,181.6,26.4,0.6,3.6,1.7,6.5,1.5,0.2,0.2,25.6,0.2,2.7
icr007967,True,17504.0,5575.0,63149.4,50.6,45.7,94.4,11571.1,4339.2,4.4,3281.0,35.3,58.3,280.8,27491.3,0.7,31.9,10.8,27.2,14.7,0.3,881.7,11.9,75.9,120.5,9.6,24.7,184.5,952.8,954.9,127.7,1.3,19.1,16.4,1.7,4.2,0.2,0.2,29.9,0.1,19.1
icr007968,True,17757.3,5575.0,75522.6,50.6,45.7,186.5,8562.3,2608.0,4.4,3444.0,40.8,63.9,194.8,32531.5,0.7,40.1,12.1,28.9,18.9,0.3,887.6,12.3,80.0,76.3,10.4,38.3,184.5,820.7,1108.2,123.7,0.7,7.7,23.5,4.1,3.7,0.2,0.2,37.9,0.1,25.8
icr007987,True,16069.6,5575.0,57218.7,50.6,45.7,196.5,13117.4,3762.7,4.4,2985.1,30.8,62.4,164.8,26675.9,0.7,38.1,13.1,25.2,12.1,0.3,888.9,10.4,68.5,103.6,9.1,24.7,184.5,845.3,934.0,113.9,0.7,8.8,16.1,2.5,4.4,0.2,0.2,21.1,0.1,18.7
icr007988,True,16743.4,5575.0,52497.7,50.6,45.7,263.9,12933.9,3273.5,4.4,2709.4,28.7,61.9,139.8,24989.3,0.7,34.8,12.5,26.5,11.3,0.3,886.9,8.4,65.3,95.6,6.8,24.7,184.5,973.6,837.6,100.0,0.7,10.2,15.8,2.2,4.6,0.2,0.2,19.4,0.1,17.3
icr008007,True,19057.2,5575.0,41380.3,50.6,45.7,120.9,10470.5,4921.2,4.4,1985.2,19.3,20.4,182.5,14864.5,0.7,11.0,10.0,19.4,10.0,0.3,886.9,6.8,43.6,95.2,5.3,24.7,184.5,1081.5,465.6,65.5,0.9,4.8,9.0,2.6,2.8,0.2,0.2,16.8,0.1,4.2
icr008008,True,19474.2,5575.0,48989.5,50.6,45.7,137.8,10145.9,3732.2,4.4,2406.0,23.8,26.1,169.4,19297.7,0.7,15.3,11.5,22.3,12.7,0.3,881.7,12.4,53.7,82.0,6.2,24.7,184.5,725.8,603.5,71.4,0.8,2.7,11.9,2.6,3.5,0.2,0.2,18.1,0.1,8.4
icr008027,True,21603.3,5575.0,19191.9,50.6,45.7,194.9,14474.3,4630.1,4.4,841.2,7.0,24.0,148.8,4315.2,0.7,6.9,3.3,10.9,4.1,0.3,880.4,1.7,27.8,110.7,1.5,24.7,184.5,2011.0,108.1,13.9,0.7,3.2,0.7,4.7,0.9,0.2,0.2,12.4,0.1,1.7
icr008028,True,20090.5,5575.0,20884.6,50.6,45.7,184.8,15169.8,4529.1,4.4,1009.1,7.9,30.5,117.1,5069.9,0.7,7.1,3.3,11.4,4.2,0.3,885.0,1.9,29.7,109.0,2.3,24.7,184.5,2068.9,131.5,16.6,0.7,3.7,0.8,6.1,1.1,0.2,0.2,13.0,0.1,1.7
icr009918,True,16616.3,5575.0,39259.2,697.7,45.7,38.7,2971.3,2662.2,3.7,2909.0,50.4,70.0,1370.0,33677.8,0.7,36.9,26.3,66.9,9.3,0.3,879.8,12.8,38.8,19.2,8.5,39.4,184.5,692.9,1201.5,86.5,0.7,22.3,24.3,0.2,1.9,0.2,0.2,26.9,0.1,38.8
icr009919,True,17210.9,5575.0,38886.2,471.7,45.7,50.1,2683.3,1696.2,4.4,3316.9,60.9,74.6,1496.3,37704.7,0.7,46.9,29.7,69.6,10.9,0.3,879.8,12.5,41.8,15.9,12.7,47.3,184.5,1080.7,1327.7,85.3,0.7,17.2,28.6,0.2,1.0,0.2,0.2,34.7,0.1,42.9
icr009938,True,15833.7,5575.0,46704.1,307.9,45.7,113.1,1048.2,484.6,17.4,8267.0,106.9,39.2,910.2,53645.5,0.7,29.1,37.5,36.7,11.9,0.3,883.7,7.0,44.4,12.1,14.8,160.6,184.5,72.5,2193.2,92.0,0.7,30.6,0.9,1.3,2.9,0.2,0.2,70.9,6.8,98.8
icr009939,True,14366.4,5575.0,42659.0,296.9,45.7,111.0,864.8,212.0,19.8,7742.3,96.3,34.0,809.8,49892.2,0.7,26.6,33.9,33.7,11.5,0.3,887.6,4.8,39.0,10.1,15.2,137.4,184.5,49.3,2017.1,92.3,0.7,30.6,15.5,1.3,2.9,0.2,0.2,63.9,6.2,91.5
icr009958,True,15720.7,5575.0,44512.2,302.9,45.7,72.3,1436.0,722.9,13.3,7726.5,86.5,39.7,853.8,47944.1,0.7,32.5,28.6,39.2,11.4,0.3,881.7,7.5,41.6,16.0,18.6,143.4,184.5,88.7,1970.2,117.2,0.8,33.2,26.0,2.1,2.6,0.2,0.2,58.5,5.4,79.4
icr009959,True,16959.4,5575.0,45986.5,223.9,45.7,61.6,1314.6,166.8,23.9,6972.7,74.2,43.9,734.5,50507.2,0.7,36.1,29.9,39.4,12.6,0.3,883.7,5.1,42.5,13.7,21.6,147.4,184.5,52.7,1828.8,112.3,0.7,33.0,0.9,1.6,3.4,0.2,0.2,69.2,4.3,85.7
icr009978,True,19595.1,5575.0,44802.8,123.0,45.7,40.1,2938.9,265.1,10.1,5107.2,74.8,95.3,1392.7,42325.1,0.9,49.5,46.2,42.3,11.7,0.3,888.2,3.5,41.4,8.6,12.8,87.9,184.5,313.9,1571.1,61.9,0.7,32.3,32.8,0.2,3.1,0.2,0.2,57.6,1.2,65.0
icr009979,True,16793.5,5575.0,54827.9,77.2,45.7,137.1,2692.2,128.2,16.8,5282.2,83.6,97.4,1251.4,46308.1,0.7,54.9,53.9,45.3,13.7,0.3,879.8,1.0,43.5,7.3,13.4,128.8,184.5,84.9,1490.7,77.1,0.7,27.5,36.5,1.0,3.2,0.2,0.2,65.0,1.4,69.8
icr009998,True,15495.1,5575.0,45667.4,436.6,45.7,73.6,494.5,322.9,24.5,8116.0,111.5,35.4,1485.4,57600.8,0.7,30.3,38.9,43.9,11.0,0.3,883.0,7.6,45.7,11.3,30.3,158.5,184.5,38.7,2318.2,98.1,0.8,49.9,0.9,0.4,2.6,0.2,0.2,90.1,6.1,112.7
icr009999,True,15845.2,5575.0,47846.6,302.1,45.7,98.9,490.3,124.0,33.3,10603.0,140.7,45.7,1611.0,69093.4,0.7,34.5,44.1,49.4,12.5,0.3,884.3,8.1,57.3,11.2,30.2,228.2,184.5,37.7,2785.0,108.0,0.7,41.1,0.9,1.4,4.0,0.2,0.2,120.8,10.4,145.9
icr010018,True,17738.7,5575.0,46411.5,388.2,45.7,64.0,510.4,379.7,19.3,10382.1,107.4,46.5,1054.9,57418.1,0.7,42.0,37.6,45.1,12.2,0.3,887.6,8.1,45.9,14.5,24.8,168.7,184.5,56.3,2530.8,105.7,0.7,35.4,0.9,3.5,3.4,0.2,0.2,85.1,10.1,111.8
icr010019,True,16291.2,5575.0,45285.1,251.2,45.7,129.1,428.9,119.2,22.2,10580.4,97.7,44.2,980.5,57186.0,0.7,41.0,35.9,39.3,11.9,0.3,883.7,7.6,44.6,12.1,23.0,163.2,184.5,62.2,2506.1,104.4,0.7,30.7,0.9,2.0,3.6,0.2,0.2,87.1,10.5,111.7
icr010038,True,16659.0,5575.0,60322.9,286.7,45.7,111.7,5963.9,2668.3,5.0,13212.3,152.2,128.6,1481.2,76700.5,0.7,110.3,47.7,69.2,11.2,0.3,879.8,3.7,91.5,30.9,24.8,313.3,184.5,108.4,3267.0,112.3,0.7,25.7,39.2,2.2,5.2,0.2,0.2,109.9,13.4,176.0
icr010039,True,17371.1,5575.0,67652.8,261.3,45.7,157.4,4430.9,1473.1,17.2,9616.8,128.4,119.7,1153.0,76047.3,0.7,129.1,51.5,70.7,12.9,0.3,883.0,2.0,86.8,21.8,23.7,271.1,184.5,561.6,2998.4,154.9,0.7,32.1,0.9,0.3,3.9,0.2,0.2,102.3,7.9,170.5
icr010058,True,16441.3,5575.0,46812.9,371.2,45.7,33.9,576.3,774.2,23.2,11669.7,89.2,42.9,1178.6,61345.4,0.7,40.3,34.6,52.7,12.3,0.3,883.7,9.3,48.8,19.5,26.8,227.3,184.5,63.3,2723.1,110.4,0.7,43.8,16.4,2.5,3.4,0.2,0.2,97.0,11.7,120.9
icr010059,True,17489.8,5575.0,44564.6,272.5,45.7,134.9,451.0,173.1,23.6,12283.2,106.7,38.8,1105.9,61492.6,0.7,38.7,33.3,51.7,12.3,0.3,885.0,9.3,50.7,17.0,23.5,215.8,184.5,63.8,2796.4,128.1,1.0,32.9,15.6,3.6,4.2,0.2,0.2,102.8,13.6,128.3
icr010078,True,14715.6,5575.0,46839.8,490.1,45.7,155.7,657.0,680.4,20.8,8959.5,107.3,33.6,1201.8,58298.1,0.7,40.2,53.1,40.0,12.1,0.3,885.0,7.1,48.5,14.2,31.6,176.9,184.5,50.0,2463.7,89.8,0.7,43.8,0.9,0.4,2.3,0.2,0.2,89.5,7.3,116.8
icr010079,True,13883.1,5575.0,48507.2,340.6,45.7,179.7,604.0,222.5,26.7,12622.0,147.4,37.3,1226.1,67758.1,0.7,42.4,56.2,44.9,12.8,0.3,885.6,6.8,56.6,11.8,28.1,228.4,184.5,63.6,2894.2,101.9,0.7,29.0,0.9,1.1,3.6,0.2,0.2,108.0,13.4,141.4
icr010098,True,16133.2,5575.0,52406.0,236.2,45.7,50.6,633.8,1206.5,14.3,11919.1,151.8,61.9,1542.7,69655.3,0.8,67.9,62.0,47.4,12.3,0.3,885.6,8.5,63.2,12.6,32.3,281.7,184.5,56.7,3023.6,103.3,0.7,50.4,0.9,1.1,3.1,0.2,0.2,114.1,12.8,160.2
icr010099,True,17969.3,5575.0,53101.8,201.2,45.7,134.8,503.7,328.7,36.0,13945.6,174.9,67.7,1634.8,75834.4,1.1,71.6,62.6,48.8,12.6,0.3,881.1,7.7,71.6,9.5,33.8,280.7,184.5,53.4,3368.2,126.0,0.7,37.8,0.9,0.9,3.3,0.2,0.2,137.4,17.9,186.0
icr010118,True,12588.4,5575.0,55275.9,255.0,45.7,88.6,477.5,587.3,23.0,11660.1,119.5,77.3,1775.8,64166.6,2.1,96.5,49.1,40.1,12.5,0.3,885.6,6.8,53.6,9.9,25.2,221.4,184.5,49.9,2723.3,96.8,0.7,47.5,18.7,2.3,2.5,0.2,0.2,109.0,13.2,138.6
icr010119,True,14786.1,5575.0,54453.9,178.7,45.7,226.7,444.8,171.6,24.0,12678.0,118.9,85.6,1867.9,68961.6,2.0,109.5,52.3,42.3,13.4,0.3,883.0,5.1,59.9,7.9,26.3,265.1,184.5,53.7,2974.9,106.3,0.7,33.0,17.1,2.0,2.8,0.2,0.2,129.9,14.9,154.8
icr010138,True,13881.8,5575.0,40813.5,364.2,45.7,154.6,1026.7,344.8,14.5,9628.7,94.2,28.0,1168.6,54354.4,0.7,31.2,35.7,44.0,10.2,0.3,886.3,5.3,50.1,12.4,22.1,156.8,184.5,63.4,2372.3,113.3,1.0,37.9,44.5,2.1,3.7,0.2,0.2,85.4,9.4,114.2
icr010139,True,15443.9,5575.0,43696.3,288.5,45.7,130.1,814.8,144.1,18.0,9834.1,102.2,27.0,1059.7,55668.2,0.7,32.0,36.3,42.7,11.3,0.3,879.1,4.5,45.2,12.0,22.0,166.7,184.5,48.1,2368.9,100.8,0.7,35.7,17.4,1.9,3.3,0.2,0.2,80.8,9.0,107.1
icr010158,True,15361.1,5575.0,38514.1,567.9,45.7,95.9,3209.6,1322.5,8.5,7761.9,98.4,43.4,1504.8,51854.6,1.0,27.9,35.8,50.7,9.0,0.3,883.7,1.7,50.5,17.0,28.6,140.4,184.5,341.8,2103.0,144.5,1.4,32.8,40.0,0.4,2.8,0.2,0.2,69.6,3.8,80.2
icr010159,True,15646.5,5575.0,50394.8,548.5,45.7,213.6,3408.9,700.0,11.6,7403.1,90.2,44.7,1372.2,57322.3,0.7,37.1,45.6,56.8,11.1,0.3,885.0,0.4,61.3,20.5,34.2,149.9,184.5,1711.6,2092.1,134.2,0.8,15.2,32.3,0.4,3.3,0.2,0.2,100.2,4.6,94.7
icr010178,True,14743.5,5575.0,40159.6,470.4,45.7,217.1,2572.9,691.7,12.3,12811.3,64.9,20.5,1596.4,56736.0,0.7,20.1,26.6,57.5,9.9,0.3,885.6,1.4,61.5,27.0,46.5,202.8,184.5,17.6,2378.5,153.9,0.8,7.4,46.9,3.8,4.1,0.2,0.2,96.3,11.7,92.4
icr010179,True,18449.9,5575.0,39305.2,452.5,45.7,180.4,1863.9,419.7,12.6,12839.9,133.6,8.3,1280.0,59520.7,0.7,23.7,27.3,60.8,11.4,0.3,889.5,0.6,65.9,28.5,47.3,178.1,184.5,699.7,2520.0,145.3,0.9,27.6,37.8,8.5,3.1,0.2,0.2,107.3,13.7,111.4
icr010198,True,15381.6,5575.0,45999.9,302.2,45.7,26.4,1392.3,370.4,17.4,10066.9,50.5,22.0,1584.0,53480.8,0.7,27.0,29.1,53.3,12.3,0.3,885.0,4.3,50.2,28.2,42.0,198.1,184.5,17.6,2265.7,135.3,0.7,40.1,44.8,2.9,3.7,0.2,0.2,94.8,8.8,91.6
icr010199,True,16666.7,5575.0,46979.8,393.8,45.7,242.4,1397.4,366.5,21.5,8951.0,46.9,22.1,1554.9,51576.4,0.7,26.8,28.1,50.9,12.5,0.3,885.0,4.4,46.1,27.8,40.9,156.5,184.5,17.6,2026.5,152.6,0.7,36.9,43.3,1.7,3.2,0.2,0.2,88.7,6.7,80.9
icr010218,True,17076.7,5575.0,40707.0,203.6,45.7,117.5,6550.6,882.4,8.1,6110.5,38.1,52.5,1523.8,44006.9,0.7,33.1,31.7,58.5,8.4,0.3,881.7,1.5,56.1,13.6,32.3,97.1,184.5,1743.0,1644.2,131.4,0.7,22.3,34.0,1.3,3.9,0.2,0.2,64.3,1.9,59.9
icr010219,True,19560.8,5575.0,46993.5,83.8,45.7,223.5,5922.9,619.1,12.4,6607.8,46.6,58.8,1332.0,50475.5,0.7,42.8,37.8,64.2,10.2,0.3,885.6,0.5,65.2,12.8,34.8,154.3,184.5,986.5,1867.8,117.0,0.7,13.4,41.1,2.2,5.1,0.2,0.2,77.3,3.5,77.3
icr011824,True,19052.3,5575.0,17297.8,50.6,45.7,59.1,20830.7,863.4,4.4,761.9,8.6,6.9,223.1,5376.1,0.7,2.5,3.7,7.2,2.7,0.3,879.1,0.2,59.8,30.8,3.7,24.7,184.5,3206.2,186.6,32.8,1.1,3.3,1.4,1.0,1.2,0.4,0.2,11.5,0.1,1.9
icr011825,True,21961.5,5575.0,15360.6,50.6,45.7,133.5,16904.2,543.6,4.4,697.2,6.6,13.5,186.5,5954.1,0.7,2.5,3.5,6.9,2.8,0.3,877.2,0.3,48.0,23.4,2.8,24.7,184.5,3027.0,175.2,26.7,1.1,1.0,3.0,0.5,1.1,0.4,0.2,12.1,0.1,0.3
icr011843,True,26311.1,5575.0,11850.9,50.6,45.7,112.9,12739.7,483.7,4.4,504.9,8.4,13.2,63.7,3989.4,0.7,2.1,3.1,5.5,2.3,0.3,885.0,0.2,46.5,19.2,3.9,24.7,184.5,1078.4,105.7,12.5,0.6,2.1,1.2,0.6,0.7,0.2,0.2,8.7,0.1,0.3
icr011844,True,22988.3,5575.0,10831.4,50.6,45.7,92.6,12703.6,396.1,4.4,512.1,9.6,14.2,42.8,3590.5,0.7,2.0,3.1,5.1,1.7,0.3,881.1,0.2,44.0,16.9,3.8,24.7,184.5,1118.6,101.9,12.8,0.9,1.5,1.0,0.4,0.8,0.2,0.2,6.9,0.4,0.3
icr011863,True,25060.1,5575.0,7830.3,50.6,45.7,86.7,5851.0,652.0,4.4,508.2,9.8,6.2,68.6,3928.1,0.7,1.4,3.0,5.0,1.3,0.3,881.1,0.3,20.2,15.4,1.0,24.7,184.5,667.5,108.4,15.3,0.7,2.0,1.7,0.3,0.6,0.2,0.2,3.0,0.3,0.3
icr011864,True,19485.5,5575.0,10363.1,50.6,45.7,161.4,5745.2,816.2,4.4,694.0,9.6,10.9,75.8,4906.4,0.7,2.4,3.9,6.7,1.5,0.3,881.1,0.2,21.0,18.1,5.2,24.7,184.5,760.3,149.8,18.9,0.6,3.7,2.6,0.5,1.1,0.2,0.2,4.3,1.1,0.6
icr011881,True,21115.5,5575.0,20094.9,50.6,45.7,141.8,35969.4,323.8,4.4,434.1,6.2,3.6,39.3,1779.0,0.7,0.8,1.6,3.1,3.9,0.3,888.9,0.2,132.4,30.2,1.4,24.7,184.5,2054.3,21.9,5.7,2.9,1.3,0.9,0.7,0.4,0.4,0.2,13.1,0.1,1.6
icr011882,True,22314.3,5575.0,16694.9,50.6,45.7,82.6,29697.6,293.8,4.4,478.1,6.3,5.6,36.7,2198.4,0.7,0.9,1.8,3.8,3.4,0.3,885.0,0.2,116.2,26.0,3.6,24.7,184.5,1786.9,77.4,7.4,2.2,1.3,0.9,1.7,0.5,0.5,0.2,10.3,0.1,0.8
icr011901,True,21219.3,5575.0,14614.6,50.6,45.7,64.1,15815.2,5644.8,4.4,622.2,4.4,6.4,142.0,4004.6,0.7,13.2,30.5,16.9,2.6,0.3,881.1,0.8,44.1,101.9,3.9,24.7,184.5,3136.5,117.9,16.5,0.8,3.0,0.9,0.4,0.1,0.2,0.2,6.5,0.1,0.7
icr011902,True,21927.3,5575.0,17155.6,50.6,45.7,95.0,17785.7,2183.2,4.4,781.1,5.4,9.5,122.0,4310.6,0.7,2.4,3.9,11.0,2.9,0.3,883.0,0.9,51.2,49.5,3.8,24.7,184.5,3240.2,137.3,23.0,1.3,3.7,1.4,0.9,0.8,0.2,0.2,7.5,0.1,0.9
icr011921,True,21460.9,5575.0,24128.8,50.6,45.7,94.8,13178.3,2370.5,4.4,1224.0,9.6,10.6,214.9,7911.8,0.7,4.1,6.5,13.2,3.9,0.3,873.4,0.7,51.8,52.1,7.4,24.7,184.5,1991.9,258.0,28.7,0.7,10.4,3.0,0.6,1.3,0.2,0.2,9.8,0.1,2.7
icr011922,True,22084.0,5575.0,31416.1,50.6,45.7,47.4,12339.2,4410.4,4.4,1642.6,11.5,15.3,209.1,12120.3,0.7,7.0,9.7,21.3,5.7,0.3,883.0,0.7,59.3,85.1,7.7,24.7,184.5,2364.2,428.5,41.3,1.1,5.7,7.0,0.2,2.5,0.2,0.2,13.2,0.1,2.4
icr011941,True,23620.2,5575.0,27876.4,50.6,45.7,99.1,37563.6,2702.4,4.4,622.4,10.1,7.6,92.1,5427.2,0.7,2.3,3.0,7.9,5.4,0.3,885.0,0.4,131.6,77.0,3.8,24.7,184.5,2775.8,160.5,17.7,1.7,1.0,1.6,0.3,1.2,1.2,0.2,18.0,0.1,2.2
icr011942,True,20653.2,5575.0,27016.3,50.6,45.7,70.8,34568.2,2769.7,4.4,610.5,10.5,8.9,73.3,5563.6,0.7,2.7,3.0,8.4,4.8,0.3,883.0,0.2,121.2,72.3,3.2,24.7,184.5,2583.8,159.0,14.1,0.9,2.0,2.1,0.2,1.4,1.0,0.2,14.6,0.1,1.1
icr011960,True,20695.4,5575.0,26520.6,50.6,45.7,23.1,30262.5,2916.2,4.4,701.4,9.1,10.3,106.9,4906.2,0.7,1.9,3.7,13.4,4.5,0.3,879.1,2.3,107.5,73.9,4.7,24.7,184.5,2435.6,169.8,21.2,1.1,2.6,1.4,0.4,1.2,0.6,0.2,11.6,0.1,1.9
icr011961,True,28019.0,5575.0,23869.2,50.6,45.7,33.9,31938.7,2093.2,4.4,660.6,10.9,3.4,62.8,4621.6,0.7,1.6,3.1,9.4,4.9,0.3,881.1,0.8,115.4,65.2,4.2,24.7,184.5,2548.9,159.6,19.1,2.0,1.8,1.7,0.5,1.0,1.2,0.2,15.6,0.1,1.4
icr011978,True,15134.2,5575.0,40923.0,50.6,45.7,232.9,5796.9,4067.8,4.4,6071.1,121.2,114.5,2419.5,86759.1,1.5,65.9,72.7,40.0,3.8,0.3,875.3,3.1,123.6,55.5,7.8,272.8,184.5,1330.3,2970.2,148.3,0.7,36.8,0.9,0.2,7.5,0.2,0.8,215.9,2.2,203.2
icr011979,True,13939.6,5575.0,49151.2,50.6,45.7,171.7,5250.3,3331.1,4.4,5847.8,108.4,101.4,1793.6,77461.0,0.7,56.1,67.0,36.9,5.8,0.3,883.0,2.2,108.6,41.7,6.9,260.0,184.5,1167.2,2660.2,125.2,0.7,36.3,0.9,0.2,5.8,0.2,0.2,169.1,1.7,165.4
icr011990,True,14462.0,5575.0,35241.1,50.6,45.7,67.8,6484.3,4780.2,4.4,1608.2,12.7,20.3,206.6,15092.7,0.7,9.7,10.6,20.7,5.9,0.3,885.0,2.3,41.6,83.7,8.0,24.7,184.5,2192.1,538.9,49.4,1.2,12.3,11.0,0.2,2.5,0.2,0.1,9.5,0.1,4.6
icr011991,True,21764.2,5575.0,36998.9,50.6,45.7,60.5,7033.4,12580.0,4.4,2081.1,16.7,25.4,342.1,19914.9,0.7,15.6,15.6,28.0,8.7,0.3,883.0,2.1,51.1,177.9,10.7,24.7,184.5,4242.3,770.9,78.4,2.3,8.8,13.1,0.2,2.3,0.2,0.8,17.7,0.1,7.8
icr012008,True,23050.4,5575.0,21677.6,50.6,45.7,223.2,12389.3,3920.2,4.4,809.7,10.7,8.1,139.7,7423.6,0.7,3.1,5.8,11.2,3.5,0.3,885.0,2.3,42.4,74.3,5.0,24.7,184.5,1945.0,216.4,26.4,0.6,6.6,4.2,0.9,1.9,0.2,0.2,8.4,0.1,2.0
icr012009,True,19783.8,5575.0,31277.0,50.6,45.7,49.0,11776.2,8718.6,4.4,1514.2,15.9,11.3,296.7,13641.6,0.7,6.9,10.1,19.3,6.6,0.3,886.9,5.4,54.2,149.2,10.0,24.7,184.5,2738.3,475.0,60.3,0.7,4.7,8.2,0.9,2.5,0.2,0.3,15.7,0.1,3.6
icr012027,True,20497.5,5575.0,27857.7,50.6,43.7,80.8,17538.3,5512.7,4.4,1107.9,10.5,7.5,336.8,9027.0,0.7,5.7,8.8,20.2,5.5,0.3,883.0,2.1,77.6,112.7,7.9,24.7,184.5,2297.4,298.2,41.0,1.4,3.5,4.2,0.2,1.7,0.2,0.1,16.1,0.1,3.2
icr012028,True,20462.3,5575.0,26409.9,50.6,54.7,48.6,12572.0,19088.7,4.4,1417.9,12.9,10.3,560.3,11338.7,0.7,9.3,10.0,22.7,6.7,0.3,875.3,1.6,67.0,209.6,10.2,24.7,184.5,3334.6,388.2,59.4,1.5,4.8,4.4,0.2,1.3,0.2,1.0,18.4,0.1,4.8
icr012043,True,20745.1,5575.0,49099.1,50.6,45.7,116.8,8294.3,1320.8,4.4,4578.6,40.2,77.3,309.4,34633.5,0.7,34.3,28.0,31.3,11.6,0.3,881.1,4.7,99.2,34.8,14.7,75.3,184.5,542.8,1365.0,81.5,0.7,16.0,26.3,1.1,4.8,1.2,0.2,43.8,0.1,30.1
icr012044,True,19638.8,5575.0,44889.2,50.6,45.7,101.5,6442.2,832.7,3.1,4121.8,37.7,68.3,181.3,31423.3,0.7,31.6,23.5,26.0,11.4,0.3,883.0,4.2,86.6,24.8,11.2,57.9,184.5,349.6,1245.5,68.3,0.7,16.1,24.1,1.0,4.6,1.4,0.2,40.0,0.1,28.2
icr012063,True,12169.5,7982.7,42079.3,50.6,45.7,159.8,7760.1,11936.3,4.4,4032.6,40.8,43.5,669.5,33784.9,0.7,23.1,27.0,39.9,9.9,0.3,881.1,0.2,76.3,198.1,13.6,24.0,184.5,2264.2,1351.8,133.4,1.3,30.9,24.5,0.2,3.7,0.2,2.0,40.2,0.1,31.0
icr012064,True,17695.3,11730.7,38059.3,50.6,45.7,40.4,6635.8,14187.6,4.4,3550.2,35.3,45.1,568.2,30028.1,0.7,20.6,24.2,36.3,9.4,0.3,885.0,0.2,65.6,195.7,12.9,24.7,184.5,2109.5,1152.9,112.1,1.2,15.2,19.7,0.2,2.9,0.2,2.3,30.3,0.1,23.6
icr012083,True,24172.6,5575.0,14237.7,50.6,45.7,78.8,15014.3,1906.4,4.4,781.5,8.3,6.7,144.4,4247.2,0.7,2.3,4.5,35.4,3.0,0.3,881.1,1.0,55.1,49.2,4.3,24.7,184.5,1297.8,139.7,17.2,0.7,2.5,1.0,0.7,1.1,0.1,0.2,4.4,0.1,0.3
icr012084,True,22895.7,5575.0,12955.3,50.6,45.7,76.0,14277.4,1545.5,4.4,600.6,7.1,8.2,111.0,3945.0,0.7,1.9,4.0,21.1,2.5,0.3,871.5,0.4,50.2,39.0,2.3,24.7,184.5,1227.3,128.9,15.9,0.5,3.5,1.2,0.6,0.9,0.2,0.2,7.6,0.1,0.3
icr012087,True,20975.4,5575.0,26294.9,50.6,45.7,66.6,7130.2,3315.0,4.4,2161.7,38.5,51.2,479.5,26772.6,0.7,15.8,21.6,20.0,3.8,0.3,877.2,0.9,50.5,49.2,5.3,24.7,184.5,726.7,891.7,72.7,0.7,15.8,21.2,0.2,3.7,0.2,0.2,23.5,0.1,17.3
icr012088,True,17706.0,5575.0,32099.8,50.6,45.7,40.8,6322.9,2552.9,3.6,2625.7,52.2,55.8,576.7,37148.8,0.7,22.5,25.6,25.9,4.6,0.3,885.0,1.8,63.7,40.7,4.8,24.7,184.5,625.5,1300.5,97.1,0.7,11.0,0.9,0.2,5.3,0.2,0.2,47.8,0.1,41.9
icr020848,True,24652.8,5575.0,9126.1,50.6,45.7,243.3,6307.5,502.7,4.4,978.7,9.1,9.7,54.9,2921.2,0.7,1.8,3.2,3.1,1.6,0.3,886.9,0.2,16.0,24.4,4.8,68.6,184.5,624.5,110.0,9.1,0.7,2.8,0.8,20.9,0.5,0.2,0.2,3.3,1.8,2.0
