SSN,Public,EC,ExAc,ExBas,M3 Al,M3 B,M3 Ca,M3 Cu,M3 Fe,M3 K,M3 Mg,M3 Mn,M3 Na,M3 P,M3 S,M3 Zn,PH,PSI
icr020986,True,0.059000000000000004,0.192,4.07640889,374.5,0.1271,641.2,0.6436,110.7,57.06,74.22,112.4,25.55,21.76,4.381,2.13,6.485,-99.93738898
icr020987,True,0.043,0.192,2.046011329,402.9,0.1597,295.6,0.3918,83.32,33.69,48.35,80.04,18.92,8.62,2.82,1.479,6.381,16.34969627
icr021004,True,0.091,0.192,5.133315898999999,902.8,0.2584,635.1,0.8826,143.4,143.8,180.8,174.8,22.04,6.638,5.119,1.946,6.225,92.90305752
icr021005,True,0.047,0.28800000000000003,3.957916351,778.8,0.1268,479.3,0.9666,127.9,94.9,147.9,165.4,22.17,2.053,2.641,0.7313,6.148,13.05932548
icr021023,True,0.12,0.192,4.268850669,999.8,0.2403,529.6,1.443,83.37,172.8,131.4,281.1,21.38,12.49,5.642,1.9909999999999999,6.122999999999999,-11.5393209
icr021024,True,0.052000000000000005,0.48,2.5224183069999997,1180.0,0.1327,261.9,0.987,67.08,125.1,93.14,159.7,28.34,4.209,7.417000000000001,0.6252,5.843,10.72906491
icr021043,True,0.054000000000000006,0.192,2.5415413119999997,208.6,0.0521,358.2,0.3266,232.0,34.31,67.94,35.42,23.3,28.41,7.617000000000001,1.422,5.977,-59.08182805
icr021044,True,0.039,0.384,1.4081745469999998,256.2,0.032,190.0,0.3131,162.9,25.09,39.11,13.86,16.28,19.51,1.858,1.003,5.981,-42.90024919
icr021063,True,0.095,0.28800000000000003,6.253453246,513.2,0.2435,954.9,1.179,138.9,108.0,132.9,218.8,24.01,15.37,5.891,2.416,6.417999999999999,-116.8974076
icr021064,True,0.075,0.384,2.9264847080000003,462.1,0.1041,418.2,0.8547,94.66,61.31,69.91,211.4,23.21,3.889,4.05,0.9004,6.5729999999999995,74.46774223
icr021083,True,0.040999999999999995,0.384,1.434326351,238.5,0.0226,182.0,0.2645,213.9,27.1,42.21,7.4239999999999995,24.42,6.252999999999999,4.408,0.9986,5.707999999999999,18.54703701
icr021084,True,0.034,0.384,1.230030426,459.4,0.0491,151.9,0.3976,218.2,20.07,32.81,2.041,34.05,9.937999999999999,3.1689999999999996,1.7380000000000002,5.58,-14.44719231
icr021103,True,0.068,0.384,2.7250991310000003,353.0,0.0994,361.8,0.3931,183.4,57.68,81.54,15.19,21.78,11.75,4.68,1.033,5.681,-2.4597614819999998
icr021123,True,0.079,0.192,5.659572584,265.8,0.0945,850.1,0.4875,181.3,53.04,141.2,124.8,24.49,25.09,3.275,2.186,6.291,54.14209821
icr021124,True,0.053,0.28800000000000003,3.798013327,332.5,0.0528,546.9,0.5598,205.9,41.06,103.0,110.8,24.67,16.27,2.63,1.4509999999999998,6.162999999999999,-7.699834934
icr021141,True,0.083,0.192,5.322105747,326.8,0.3098,793.6,0.6789,150.4,65.75,130.5,284.5,24.71,29.04,6.477,2.565,6.487,72.94303364
icr021142,True,0.063,0.28800000000000003,3.790614413,371.5,0.1886,551.9,0.7195,154.0,47.0,97.11,276.9,24.92,17.15,3.987,1.023,6.2829999999999995,-33.96504113
icr024868,True,0.059000000000000004,0.1,3.120075564,596.0,0.16,369.0,0.59,67.0,121.0,110.0,63.0,13.0,9.36,6.0,2.59,6.24,2.18
icr024869,True,0.018000000000000002,0.1,2.342758978,693.0,0.09,214.0,0.48,62.0,107.0,113.0,53.0,15.0,4.59,4.0,1.82,6.24,12.31
icr024879,True,0.04,0.05,4.14580996,711.0,0.09,513.0,1.02,60.0,130.0,140.0,129.0,21.0,3.92,5.0,2.38,6.42,9.83
icr024880,True,0.028999999999999998,0.1,4.703482805,971.0,0.1,525.0,1.3,62.0,137.0,197.0,111.0,23.0,2.01,4.0,1.64,6.37,43.33
icr024899,True,0.052000000000000005,0.1,4.167099195,554.0,0.13,546.0,0.41,54.0,116.0,118.0,83.0,38.0,8.18,5.0,1.75,6.12,6.04
icr024900,True,0.038,0.05,2.789316755,644.0,0.07,343.0,0.36,49.0,92.0,91.0,66.0,20.0,6.28,4.0,1.77,5.93,9.3
icr024917,True,0.06,0.15,2.508051933,352.0,0.05,259.0,0.42,113.0,75.0,102.0,18.0,41.0,4.92,3.0,2.56,5.67,7.98
icr024918,True,0.017,0.05,1.642888546,339.0,0.01,140.0,0.34,97.0,43.0,85.0,11.0,30.0,2.42,2.0,2.94,6.02,0.45
icr024937,True,0.035,0.05,3.4667914439999996,396.0,0.07,414.0,0.47,75.0,72.0,132.0,49.0,28.0,6.99,4.0,2.42,6.1,-0.66
icr024956,True,0.064,0.1,3.892922788,675.0,0.14,474.0,0.91,56.0,130.0,123.0,148.0,40.0,5.98,6.0,2.23,6.16,16.41
icr024957,True,0.033,0.2,2.499068821,989.0,0.08,179.0,0.63,66.0,109.0,143.0,100.0,33.0,3.22,7.0,2.79,5.34,30.98
icr024976,True,0.055999999999999994,0.05,3.5512708460000004,457.0,0.25,485.0,0.81,45.0,80.0,101.0,78.0,20.0,14.39,4.0,1.13,6.21,-5.94
icr024977,True,0.032,0.05,1.9608321530000001,471.0,0.04,206.0,0.62,43.0,57.0,75.0,39.0,38.0,8.18,4.0,1.13,5.74,3.94
icr024994,True,0.033,0.1,3.0688639010000003,766.0,0.09,324.0,0.74,52.0,124.0,118.0,112.0,36.0,6.2,6.0,2.6,6.16,14.92
icr024995,True,0.03,0.2,2.179476866,774.0,0.06,126.0,0.5,43.0,130.0,132.0,57.0,29.0,2.43,4.0,2.04,5.67,40.92
icr025009,True,0.043,0.1,2.113324914,458.0,0.01,233.0,0.44,127.0,56.0,89.0,53.0,16.0,6.77,4.0,1.88,5.56,27.76
icr025016,True,0.042,0.2,5.336560842,495.0,0.04,566.0,0.65,153.0,94.0,260.0,23.0,27.0,6.99,6.0,1.11,5.33,22.22
icr025017,True,0.019,1.96,2.984010801,613.0,0.01,277.0,0.67,164.0,31.0,166.0,6.0,34.0,2.7,4.0,0.49,5.09,66.69
icr025036,True,0.03,0.1,3.902104056,407.0,0.06,559.0,0.67,61.0,72.0,98.0,132.0,26.0,8.63,4.0,2.95,6.06,5.63
icr025037,True,0.035,0.05,2.293865274,408.0,0.03,312.0,0.7,50.0,48.0,65.0,96.0,17.0,4.55,3.0,0.87,6.12,2.59
icr025055,True,0.053,0.05,3.241417535,383.0,0.08,451.0,0.32,54.0,68.0,92.0,113.0,12.0,7.84,3.0,1.05,6.38,-6.06
icr025056,True,0.019,0.05,1.613311386,416.0,0.01,165.0,0.22,44.0,55.0,71.0,70.0,14.0,3.36,3.0,1.91,6.2,0.62
icr025074,True,0.05,0.1,4.589316121,583.0,0.12,537.0,0.99,72.0,165.0,162.0,194.0,33.0,8.27,6.0,3.37,6.56,10.82
icr025075,True,0.019,0.1,2.58796263,763.0,0.1,160.0,0.81,62.0,153.0,159.0,130.0,19.0,3.91,5.0,0.75,6.12,31.02
icr025092,True,0.038,0.2,3.020545116,400.0,0.06,362.0,0.38,58.0,99.0,109.0,67.0,13.0,7.73,4.0,2.25,6.43,7.19
icr025093,True,0.015,0.1,2.196998584,455.0,0.11,220.0,0.2,62.0,82.0,90.0,46.0,33.0,3.44,4.0,0.94,6.09,6.41
icr025111,True,0.024,0.1,5.347943502,525.0,0.11,741.0,0.47,68.0,131.0,143.0,71.0,29.0,8.88,5.0,2.74,6.82,6.08
icr025112,True,0.013999999999999999,0.05,3.7122073089999996,620.0,0.03,408.0,0.37,62.0,71.0,173.0,51.0,14.0,3.51,3.0,2.33,6.31,25.59
icr025135,True,0.047,0.05,5.536357928999999,461.0,0.09,866.0,0.43,55.0,96.0,111.0,127.0,10.0,9.95,5.0,1.03,6.5,-5.57
icr005998,True,0.205,0.18,10.51361216,730.7,0.5476,1344.0,1.515,174.5,240.7,366.1,124.2,35.05,17.27,11.0,1.6669999999999998,7.5489999999999995,13.61345928
icr005999,True,0.136,0.09,9.237656465,787.3,0.2145,1014.0,1.369,148.2,159.4,431.1,85.84,45.35,13.88,10.09,2.303,6.959,9.016533346000001
icr007850,True,0.04,0.95,1.6610264,558.1,0.1135,135.0,0.1916,214.5,117.1,72.26,16.72,20.55,57.42,10.59,2.365,4.613,17.80872348
icr007851,True,0.024,1.33,0.996306558,565.4,0.0354,42.61,0.1947,166.9,67.66,54.46,4.867,36.83,31.88,10.2,1.092,4.4910000000000005,17.96216485
icr007870,True,0.035,1.04,1.616884922,503.8,0.1181,81.21,0.11,228.1,129.8,92.07,11.38,27.13,28.01,9.502,2.309,4.766,8.121770523
icr007871,True,0.022000000000000002,1.43,1.459334981,591.9,0.1411,29.26,0.111,263.5,121.4,104.4,2.77,32.14,11.26,8.062999999999999,1.0270000000000001,4.914,44.05551021
icr008027,True,0.073,0.48,3.2221050389999997,428.5,0.3349,252.5,0.3979,137.0,146.7,175.5,68.79,30.82,20.78,10.78,2.582,5.86,4.683254546000001
icr008028,True,0.038,0.86,1.6546828759999999,480.4,0.1522,62.01,0.2673,151.0,86.66,119.9,23.69,30.38,8.972999999999999,9.83,1.7309999999999999,5.441,14.71401845
icr025136,True,0.024,0.05,6.705911205,446.0,0.11,1123.0,0.39,51.0,74.0,97.0,112.0,23.0,7.13,7.0,2.12,7.01,4.23
icr006086,True,0.08199999999999999,0.18,8.835561624,642.8,0.602,1161.0,1.338,125.7,204.0,289.4,148.0,26.93,15.29,10.76,3.463,7.0920000000000005,-0.295355656
icr006122,True,0.067,0.36,5.345854188000001,745.8,0.281,496.5,0.6692,89.03,135.7,275.8,76.33,54.5,7.957000000000001,9.404,3.5260000000000002,6.646,5.732593242999999
icr006142,True,0.14400000000000002,0.36,10.16658591,485.1,0.8069,1501.0,1.0,146.5,296.4,220.0,91.13,19.63,34.39,17.53,3.228,6.731,-25.78279723
icr006143,True,0.11699999999999999,0.45,7.67445761,486.8,0.5619,1042.0,1.196,121.0,251.8,202.8,64.35,33.22,23.06,17.88,1.7069999999999999,7.024,-21.49023455
icr006179,True,0.11,0.45,10.28735795,685.7,0.6999,1035.0,1.535,138.1,281.7,516.0,104.5,29.31,11.39,10.35,4.031000000000001,7.122000000000001,1.613042387
icr006180,True,0.10400000000000001,0.36,11.35119245,634.0,0.6479,1159.0,1.33,150.4,281.1,570.3,87.33,28.53,13.56,10.65,4.276,6.912000000000001,3.6016774789999997
icr006493,True,0.07200000000000001,0.45,7.007292289,1070.0,0.7579,804.5,1.694,83.66,339.6,239.0,87.07,32.44,2.905,12.95,1.365,6.087000000000001,44.32566125
icr006530,True,0.095,0.18,7.0894315379999995,1070.0,0.7889,707.3,2.823,66.74,630.5,220.1,138.8,27.92,4.157,10.05,1.571,7.225,23.05494146
icr006606,True,0.064,0.59,4.092504756,1157.0,0.4274,287.5,1.764,147.3,426.6,169.3,31.74,37.9,10.38,16.61,1.953,5.266,36.2855303
icr006607,True,0.064,1.94,3.2051309530000003,1261.0,0.5006,238.5,1.4480000000000002,89.31,329.4,121.5,11.22,38.19,4.237,37.49,1.7280000000000002,4.685,91.38820013
icr006685,True,0.063,0.54,6.814211061,1055.0,0.6919,626.7,1.865,90.69,419.1,295.4,119.6,38.53,3.609,9.718,2.253,6.38,22.30202658
icr006705,True,0.098,0.68,6.580137896,1308.0,0.5305,625.2,0.9912,117.4,464.2,257.6,89.46,31.74,4.303999999999999,17.31,2.8819999999999997,5.757000000000001,83.99814631
icr007911,True,0.032,0.57,5.365574243,1297.0,0.2109,469.4,0.8815,137.4,243.9,268.0,34.87,41.38,4.581,9.062999999999999,1.153,5.537000000000001,67.00524534
icr007928,True,0.07400000000000001,0.28,12.79093686,786.8,0.6116,1709.0,0.2432,256.1,178.8,446.5,38.87,22.67,22.82,12.03,2.384,6.057,30.040132500000002
